eng,french
do you have a smaller size,Avezvous une plus petite taille
we had a good time last night,Nous nous sommes bien amusés la nuit dernière
children should not be spoiled,Les enfants ne devraient pas être pourris
my wife is obsessed with cleaning,Ma femme est obsédée par le nettoyage
im sure that im wrong,Je suis sure que jai tort
brad pitt is an actor,Brad Pitt est un acteur
do you have any money with you,Astu le moindre argent sur toi
youre the teacher,Vous êtes la professeur
why do they want to talk to me,Pourquoi estce quils veulent me parler
can i talk to you in private for a minute,Puisje te parler en privé un moment
he once had a lot of land,Il fut un temps où il possédait beaucoup de terres
your anger is completely justified,Ta colère est totalement justifiée
the rope broke under the strain,La corde a cassé sous la charge
are you blackmailing me,Exercestu un chantage à mon égard
you can go there,Vous pouvez y aller
im sincere,Je suis sincère
no one opposed the choice,Personne ne sopposa à la décision
she called up her mother on the phone,Elle appela sa mère au téléphone
we must speak,Il nous faut nous parler
dont forget your bag,Noublie pas ton sac
it has stopped raining,Il sest arrêté de pleuvoir
ive read every one of those books,Jai lu chacun de ces livres
im going to work out the problem by myself,Je vais résoudre le problème moimême
hes a smart little feller,Cest un petit gars intelligent
whos in command of this unit,Qui commande cette unité
your father seems very nice,Ton père semble très sympa
tom needs protection,Tom a besoin dêtre protégé
we were alone,Nous étions seuls
ill be more than happy to help,Je serai plus quheureux daider
i thought youd never ask,Je pensais que vous ne le demanderiez jamais
he looked up at the sky,Il leva les yeux vers le ciel
arent you busy tomorrow afternoon,Tu nétais pas censé être occupé demain aprèsmidi
toms name was on the box,Le nom de Tom était sur la boîte
this isnt where i parked my car,Ce nest pas là que jai garé ma voiture
well take it,Nous le prendrons
whos that beautiful woman eating all alone,Qui est cette belle femme qui mange toute seule
i know what its like to be alone,Je sais ce quest être seule
she was not seriously injured,Elle nétait pas sérieusement blessée
youve got to tell tom how you feel,Tu dois dire à Tom ce que tu ressens
are you cold,Avezvous froid
ill wait for you at the station,Je tattendrai à la gare
i think its time for you to leave,Je pense quil est temps pour toi de partir
i thought youd be taller,Je pensais que vous seriez plus grand
he told me his name was tom,Il dit sappeler Tom
tom hates teaching french,Tom déteste enseigner le français
i let go of the rope,Je lâchai la corde
i know tom can do that today,Je sais que Tom peut le faire aujourdhui
he died before i arrived,Il mourut avant que jarrive
he almost never went there,Il ny est presque jamais allé
im trying to stop tom,Jessaye de stopper Tom
i know youre going to say no,Je sais que vous allez dire non
tom lives on a boat,Tom habite sur un bateau
this is a really nice watch,Cest une très belle montre
i dont believe weve met,Je ne crois pas que nous nous soyons rencontrés
tom is a fairly good swimmer,Tom est assez bon nageur
is that what you were talking about last night,Estce ce dont vous discutiez hier soir
we have to do this,Nous devons faire ceci
could you leave me one,Pourraistu men laisser une
germany then had a powerful army,LAllemagne avait alors une armée puissante
today i went to the doctors,Aujourdhui jai été chez le médecin
i wont need toms help tomorrow,Je naurai pas besoin de laide de Tom demain
im going with tom,Je vais avec Tom
that was the most interesting film that we had ever seen,Cétait le film le plus intéressant que nous ayons jamais vu
tom promised me that he wouldnt tell anyone,Tom ma promis quil ne le dirait à personne
who forced you to do that,Qui ta forcée à le faire
should we intervene,Devrionsnous intervenir
try not to splatter the ink,Essaie de ne pas faire de taches avec lencre
youre very funny,Tu es très marrant
tom wanted to spend some time in the country,Tom voulait passer quelque temps dans le pays
they started dancing,Elles commencèrent à danser
i heard that a south american camper was eaten by an anaconda,Jai entendu dire quun campeur sudaméricain a été mangé par un anaconda
her villa sits on the hill,Sa villa est située sur la colline
why isnt tom sleeping,Pourquoi Tom ne dort pas
can you prove it,Pouvezvous le prouver
youre hideous,Vous êtes hideuse
i thought you were serious,Je pensais que vous étiez sérieuses
im not trying to nitpick,Je ne suis pas en train dessayer de pinailler
if it aint broke dont fix it,On ne change pas une équipe qui gagne
tom named his daughter mary,Tom a appelé sa fille Mary
dont let them tell you youre crazy,Ne les laissez pas vous dire que vous êtes fou
everyone looked at him like he was crazy,Tout le monde le regarda comme sil était fou
she asked me whether she could use the telephone,Elle ma demandé si elle pouvait utiliser le téléphone
hes doing his german homework,Il fait son devoir dallemand
she tried,Elle a essayé
i believe i am in the right,Je crois que jai raison
what do you have to do,Que vous fautil faire
i wonder if tom is still alive,Je me demande si Tom est toujours vivant
well need a head hunting agency to find the right man for this executive position,Nous aurons besoin dune agence de chasseurs de têtes pour trouver lhomme qui convient à ce poste de cadre
they dont despise you,Elles ne vous méprisent pas
do you want some of this,Voulezvous de ceci
i often wear a hat,Je porte souvent un chapeau
tom was acquitted for lack of evidence,Tom a été acquitté par manque de preuves
all his friends backed his plan,Toutes ses amies ont appuyé son projet
i do a lot of things,Je fais de nombreuses choses
you were scared werent you,Tu as eu peur nestce pas
you cant kill both of us,Tu ne peux pas nous tuer tous les deux
shall we go and eat,Vous voulez y aller et manger
the weather is nice today,Il fait beau aujourdhui
are you ready to work,Êtesvous prêtes à travailler
i dont mean to challenge your theory,Je nai pas lintention de contester votre théorie
i was welcomed,Jai été accueillie
he wasnt long in making up his mind,Il ne fut pas long à se décider
i only wish i could see you more often,Je souhaiterais seulement pouvoir vous voir plus souvent
we became good friends,Nous sommes devenus bons amis
i need another one,Il men faut un autre
did anybody else see it,Qui que ce soit dautre latil vu
are you sure this is the right train,Estu sûr que cest le bon train
do you want to look at it,Veuxtu le regarder
clean it up,Nettoyezle
i like children thats why i became a teacher,Jaime les enfants Cest pourquoi je suis devenu enseignant
i made it myself,Je lai confectionné par moimême
i ordered a pizza,Jai commandé une pizza
ill tell you whats wrong,Je vous dirai ce qui ne va pas
i need you to stay here,Jai besoin que vous restiez ici
the pharyngeal part of the throat is behind the nose and mouth,La partie pharyngée de la gorge se situe derrière le nez et la bouche
dont spoil your child,Ne gâte pas ton enfant
they dragged their boat onto the beach,Ils tirèrent leur bateau sur la plage
tom went on talking,Tom continua à parler
after i graduated from college i spent two years traveling around the world,Après avoir été diplômé de lUniversité jai passé deux ans à voyager autour du monde
tom looks dumbfounded,Tom a lair abasourdi
quite a few people came to the party,Pas mal de monde est venu à la fête
there are no threats,Il ny a pas de menaces
the strangelooking woman was thought to be a witch,On pensait que cette femme étrange était une sorcière
do you have any japanese beer,Avezvous de la bière japonaise
the man left the restaurant without paying his bill,Lhomme quitta le restaurant sans payer son addition
tom started talking,Tom sest mis à parler
be friendly,Sois amical
there seems to be no possibility of compromise,Apparemment aucun compromis nest envisageable
keep an eye on him,Gardele à lœil
no casualties were reported,Aucune victime na été signalée
that store sells newspapers and magazines,Le magasin vend des journaux et des magazines
this summer is incredibly hot,Cet été est incroyablement chaud
i didnt catch the meaning,Je nai pas compris ce que ça signifiait
i hope you wont be disappointed,Jespère que tu ne seras pas déçu
the rich are different from you and me,Les riches sont différents de vous et moi
as these trees grow tall they rob the grass of light,À mesure que les arbres grandissent ils privent lherbe de lumière
it is not the correct solution,Ce nest pas la solution qui convient
get out while you can,Sortez tant que vous le pouvez
his daughter has become a beautiful woman,Sa fille est devenue une belle femme
i do want to see you,Je veux vraiment te voir
he cut some branches off the oak tree,Il a coupé quelques branches du chêne
we broke up,Nous avons éclaté de rire
it will make little difference whether you go there by taxi or on foot,Ça ne fait pas une grosse différence que tu y ailles en taxi ou à pied
theres nothing to eat in the kitchen,Il ny a rien à manger dans la cuisine
are you blackmailing me,Êtesvous en train de me faire du chantage
hurry up or you will miss the last train,Dépêchetoi ou tu vas rater le dernier train
tom wants to go with you,Tom veut partir avec toi
i look forward to it,Jattends cela avec impatience
they were tired of waiting,Ils étaient fatigués dattendre
why doesnt tom help you,Pourquoi Tom ne vous aidetil pas
tom is in better shape than me,Tom est en meilleure forme que moi
i have never heard him speak english,Je ne lai jamais entendu parler anglais
he cleared the path of snow,Il dégagea la neige du chemin
put another log on the fire,Mets une autre bûche sur le feu
quit acting like a child,Arrêtez de vous conduire comme une enfant
im waiting for lunch,Jattends le déjeuner
it is an endangered species,Cest une espèce en voie dextinction
they felt sure of success,Ils étaient convaincus de leur triomphe
kabuki is an old japanese art,Le Kabuki est un art japonais ancien
we have a deal,Nous avons conclu un accord
has toms dog ever bitten mary,Estce que le chien de Tom a déjà mordu Mary
he was taken in by the salesman,Il sest fait avoir par le vendeur
im perfect for you,Je suis parfait pour vous
i hope you enjoyed your stay with us,Jespère que tu as apprécié séjourner avec nous
tom was trying to control his anger,Tom essayait de contrôler sa colère
tom spoke,Tom a parlé
we want to know the facts,Nous voulons connaître les faits
who is that boy running toward us,Qui est le garçon qui vient en courant vers nous
tom is very hard on himself,Tom est très dur envers luimême
why did you do all this,Pourquoi astu fait tout ceci
could i borrow some money,Pourraisje emprunter de largent
remove the chickens giblets before cooking,Ôtez les abats du poulet avant de le cuire
i was afraid he might die,Javais peur quil meure
keep on trying,Continue dessayer
the meeting was held here,La réunion sest tenue ici
do you know where to go or who to ask for information,Savezvous où vous rendre ou à qui demander pour obtenir des informations
you dont need to go there,Vous navez pas besoin dy aller
i finished my math homework,Jai fini mes devoirs de math
i really appreciate your coming,Japprécie vraiment que tu sois venue
dont ever think otherwise,Ne pense jamais autrement
what color is your house,De quelle couleur est votre maison
dont try this at home,Nessayez pas ça chez vous
tom usually goes to school by bus,Tom va habituellement à lécole en bus
everyone laughed,Tout le monde a ri
find out what the problem is,Trouve quel est le problème
i hate the guy next door,Je déteste le type dà côté
i didnt suspect anything,Je ne soupçonnais rien
a cat is meowing on the roof,Un chat miaule sur le toit
im a teacher,Je suis enseignante
he has to study hard,Il doit étudier avec application
what time does the train for new york depart,À quelle heure le train pour New York partil
theres nothing more important than friends,Il ny a rien de plus important que les amis
youre invited,Tu es invitée
those are good,Cellesci sont bonnes
it is our duty to help them,Il est dans notre obligation de les aider
it is true that i was head over heels in love with her,Il est vrai que jétais fou amoureux delle
a parallelogram is a quadrilateral formed from two sets of parallel lines,Un parallélogramme est un quadrilatère formé de deux paires de lignes parallèles
no one told us,Personne ne nous la dit
he found a nice apartment for mary,Il a trouvé un bel appartement pour Mary
he is afraid of dogs,Il a peur des chiens
i played tennis yesterday for the first time,Jai joué au tennis pour la première fois hier
people often lie about what they did on the weekend so their friends wont realize how boring they really are,Les gens mentent souvent à propos de ce quils font de leur weekend pour que leurs amis ne réalisent pas combien leur vie est ennuyeuse
it is not as good as it looks,Ce nest pas aussi bon que ça en a lair
if you dont want this ill give it to someone else,Si vous nen voulez pas je le donnerai à quelquun dautre
i dont know if i should stay or run,Je ne sais pas si je devrais rester ou menfuir
im not ready,Je ne suis pas prête
she married him even though she didnt like him,Elle la épousé bien quelle ne lappréciât pas
youre standing a little close,Vous vous tenez un peu près
you seem distracted today,Tu sembles distrait aujourdhui
these must be worth at least three hundred dollars,Ils doivent valoir au moins trois cents dollars
my father wont allow me to do that,Mon père ne me permettra pas de faire ça
did you like it,Lavezvous aimé
it wasnt difficult to do that,Ce nétait pas difficile de faire ça
lets say that youre right,Disons que vous avez raison
i dont have a younger sister,Je nai pas de sœur plus jeune
hes not paying any attention to me,Il ne me prête aucune attention
i have a lot of neighbors,Jai beaucoup de voisins
tom is reserved,Tom est réservé
i had a terrible experience,Jai traversé une épreuve terrible
just dont drop it,Ne le faites simplement pas tomber
thats really not the point,Ce nest vraiment pas le sujet
you remind me of your brother,Tu me rappelles ton frère
can i have everyones attention please,Puisje avoir lattention de tout le monde sil vous plaît
tom is eating with a spoon,Tom mange à la cuillère
catch the ball,Attrape le ballon
what kind of tv programs do you like,Quel type de programmes télé aimestu
he hit two birds with one stone,Il fit dune pierre deux coups
were at war,Nous sommes en guerre
i think tom is likely to go to boston in the near future,Selon moi il est probable que Tom aille à Boston dans un avenir proche
do you fly frequently,Voyagestu souvent en avion
thats not how,Ce nest pas comme ça
tom is an old man,Tom est un vieil homme
dont you think we should do something to help,Ne pensezvous pas que nous devrions faire quelque chose pour aider
remove your hat,Ôtez votre chapeau
whose fault is it,De qui est la faute
you are a good cook arent you,Tu es bon cuisinier non
shut the door please,Ferme la porte je te prie
how many times have i told you to fold your clothes,Combien de fois taije dit de plier tes vêtements
i want you to die,Je veux que tu meures
what would you have me do,Questce que tu voulais que je fasse
in 1978 a peace treaty was concluded between japan and china,En 1978 un traité de paix fut signé entre le Japon et la Chine
she insulted him,Elle linsulta
you were toms only friend,Vous étiez la seule amie de Tom
arent you ashamed of yourselves,Navezvous pas honte
weve decided to adopt your idea,Nous avons décidé dadopter ton idée
this car is fully loaded,Cette voiture est complètement chargée
i usually get up at six,Je me lève dhabitude à six heures
ive drifted apart from my friends,Je me suis éloignée de mes amies
she is everything to him,Elle est tout pour lui
peace has returned after three years of war,La paix est revenue après trois années de guerre
what do i need to know,Quaije besoin de savoir
how long is this visa good for,Quelle est la durée de validité de ce visa
youre wrong,Tu es dans lerreur
may i ask what you are working on now,Puisje vous demander sur quoi vous travaillez maintenant
i think its reliable,Je pense que cest fiable
you can stay here as long as you like,Vous pouvez rester ici aussi longtemps que vous le désirez
you told me not to tell anybody,Vous mavez dit de ne le dire à personne
tom broke that,Tom a cassé cela
what did you do to it,Quy avezvous fait
we talked about it just yesterday,Nous en avons parlé pas plus tard quhier
ive lost confidence in tom,Jai perdu confiance en Tom
thats not the way i see it,Ce nest pas la manière dont je le vois
this is way too hard for me,Cest bien trop difficile pour moi
how long are you planning on staying,Combien de temps avezvous lintention de rester
is there a hospital near here,Y atil un hôpital à proximité
tom didnt clap after marys performance,Tom na pas applaudi après la performance de Mary
is there anything youd like to share,Y atil quelque chose que vous aimeriez partager
im not accusing anybody of anything,Je naccuse personne de quoi que ce soit
i want to make you smile,Je veux te faire sourire
today is my sisters birthday,Aujourdhui cest lanniversaire de ma sœur
youre preaching to the choir,Tu prêches un convaincu
ive got a class in a few minutes,Jai un cours dans quelques minutes
would you like to take a recess,Voudraistu prendre des congés
are these your books no theyre not my books,« Estce que ce sont vos livres » « Non ce ne sont pas mes livres »
have you ever studied archaeology,Avezvous déjà étudié larchéologie
is she your sister,Estelle votre sœur
what do you want for breakfast,Que voulezvous pour le petitdéjeuner
who phoned,Qui estce qui a téléphoné
i cant breathe,Je narrive pas à respirer
tom is hungry,Tom a faim
hang on a minute,Attends une minute
its fun to play tennis,Cest amusant de jouer au tennis
it looks fine,Ça a lair au poil
would you care for drinks,Désireriezvous des boissons
you look a little shaken,Tu as lair un peu remuée
this is your fault,Cest votre faute
tom has come back home for christmas,Tom est rentré chez lui pour Noël
im impressed with your french,Je suis impressionné par votre français
he had an accident and fractured his leg,Il eut un accident et se fractura la jambe
i nodded,J’ai fait signe de la tête
please stand face to face,Tenezvous face à face sil vous plaît
i cant understand the problem,Je ne comprends pas le problème
i was last,Jétais dernier
turn the christmas tree lights off when you leave the house,Éteignez les lumières du sapin de Noël lorsque vous quittez la maison
just look at him,Regardele simplement
what are we supposed to do now,Que sommesnous supposés faire maintenant
have you experienced withdrawal symptoms in the past,Avezvous éprouvé des symptômes de sevrage dans le passé
we left the door open,Nous avons laissé la porte ouverte
ill be grateful if you can do that for me,Je serai reconnaissant si vous pouvez le faire pour moi
wed do anything to help you,Nous ferions nimporte quoi pour taider
you were never good at math,Tu nas jamais été bon en math
i had no idea things were so bad,Je navais pas idée que les choses étaient aussi mauvaises
i dont need a chauffeur,Je nai pas besoin dun chauffeur
i think that tom is pretty good at french,Je pense que Tom est plutôt bon en français
tom asked mary to wait for him in front of the library,Tom demanda à Mari de l’attendre devant la bibliothèque
look into the matter more carefully,Regardez ce problème plus attentivement
you must do it at once,Vous devez le faire immédiatement
what do nurses spend most of their time doing,À quoi les infirmières passentelles la plupart de leur temps
they did not know it was impossible so they did it,Ils ne savaient pas que cétait impossible alors ils lont fait
youre very angry,Tu es fort en colère
the sun always rises in the east,Le Soleil se lève toujours à lEst
im glad that you can come,Je me réjouis que vous puissiez venir
tom isnt his real name,Tom nest pas son vrai prénom
im not satisfied,Je ne suis pas satisfaite
im still thinking about it,Jy songe encore
she gave him a sweater on his birthday,Elle lui offrit un chandail pour son anniversaire
get away,Cassetoi
dont gloat,Ne jubilez pas
youre very observant,Vous êtes très observateurs
i still have the umbrella you lent me,Jai toujours le parapluie que tu mas prêté
take it easy,Relaxe Max
mary bought a new dress,Marie sest acheté une nouvelle robe
we must cut down our expenses,Nous devons réduire nos dépenses
this is the boy who found your watch,Cest le garçon qui a trouvé ta montre
i dont see how that would be possible,Je ne vois pas comment ce serait possible
they want more,Ils veulent davantage
answer at once when spoken to,Répondez immédiatement lorsquon sadresse à vous
dr smith has a lot of patients,Le docteur Smith a beaucoup de patients
the more you study the more you know,Plus tu étudies plus tu sais
tom is at marys,Tom est chez Mary
whats the real reason you dont want to do this,Quelle est la véritable raison pour laquelle vous ne voulez pas faire ceci
this picture must have been taken in 1964,Cette photo a dû être prise en 1964
you dont have to know all the details,Vous navez pas à connaître tous les détails
the past is the past,Le passé est le passé
i want it done within the hour,Je veux que ce soit fait dans lheure
i cant take it any longer,Je nen puis plus
i want you to stay in australia until at least christmas,Je veux que vous restiez en Australie au moins jusquà Noël
hes very experienced,Il a beaucoup dexpérience
ill catch the next train,Jattraperai le prochain train
the plate is made of plastic,Lassiette est en plastique
thats evident,Cest manifeste
all things considered my fathers life was a happy one,Tout bien considéré la vie de mon père fut heureuse
you cant swim here,Vous ne pouvez pas nager ici
i have already read todays paper,Jai déjà lu le journal daujourdhui
youd better try to assert yourself more,Tu ferais mieux dessayer de taffirmer davantage
im grateful,Je suis reconnaissant
i saw someone,Jai vu quelquun
i guess i need a little sleep,Je pense que jai besoin dun peu de sommeil
you have to get rid of it,Tu dois ten débarrasser
life can be hard,La vie peut être difficile
i dont have any money,Je nai aucun blé
they have many friends,Ils ont beaucoup damies
are you injured,Estu blessée
she listened to music for hours,Elle écoutait de la musique durant des heures
theyre all waiting,Ils attendent tous
i get the feeling you dont really want me to stay,Jai le sentiment que vous ne voulez pas vraiment que je reste
fill out this form,Remplis ce formulaire
ive been thinking a lot about you,Jai beaucoup pensé à toi
we get on ok,On sentend bien
will he succeed or fail,Y parviendratil ou échoueratil
nobody says anything,Personne ne dit rien
youre tough,Vous êtes dures
this ones no good,Celleci nest pas bonne
tom will be here tonight,Tom sera ici cette nuit
how do i know that youre not going to do that again,Comment saisje que tu ne vas pas à nouveau le faire
tom and i cant speak french,Tom et moimême ne savons pas parler français
i heard tom say he needed to find mary,Jai entendu Tom dire quil avait besoin de trouver Mary
i have to go to sleep,Il faut que jaille dormir
tom didnt think that anyone would recognize him,Tom ne pensait pas que quiconque puisse le reconnaître
thatll be enough,Ça sera assez
i put some milk in my coffee,Je mis un peu de lait dans mon café
they usually go to school from monday to friday,Habituellement elles vont à lécole du lundi au vendredi
steel traps are illegal,Les pièges dacier sont illégaux
i had to lie to everyone,Jai dû mentir à tout le monde
i shouldve said i was busy,Jaurais dû dire que jétais occupé
i dont care if you go or not im going anyway,Je me fiche que tu y ailles ou pas Jy vais de toutes façons
who won,Qui a gagné
by chance i found a hot spring,Par chance je suis tombé sur une source chaude
luck comes to those who look for it,La chance sourit aux audacieux
your fate is in my hands,Ton sort est entre mes mains
its too hot inside,Il fait trop chaud à lintérieur
are you hungry no not really,« T’as faim » « Non pas trop »
stop speaking in riddles,Arrête de parler en énigmes
you were very busy werent you,Tu étais très occupée nestce pas
japan is in asia,Le Japon est en Asie
according to the newspaper he participated in the plot,Daprès le journal il a participé au complot
did you have fun,Vous êtesvous amusés
what is your mother tongue,Quelle est votre langue maternelle
open the door and let the dog in,Ouvrez la porte et laissez rentrer le chien
this watch cost 70000 yen,Cette montre a coûté 70 000 yens
i will continue,Je continuerai
something weirds going on here,Il se passe un truc bizarre
thats not important for you to know,Il nimporte pas que tu le saches
tom is afraid,Tom est apeuré
she didnt say a word to me all night,Elle ne me dit mot de toute la soirée
can i take my shirt off,Puisje ôter ma chemise
come on tom lets go home,Allez Tom Rentrons à la maison
i wonder if hes at home,Je me demande sil est chez lui
i thought youd gone and left me,Je pensais que vous seriez partis et mauriez quitté
youre making a big mistake,Tu commets une grosse erreur
he asked for more money,Il demanda plus dargent
what vegetables do you like to eat,Quels légumes aimezvous manger
we do all kinds of repairs,Nous réalisons toutes sortes de réparations
you cant leave,Vous ne pouvez pas partir
i had a very good day yesterday,Jai passé une très bonne journée hier
if you speak too fast i will not be able to understand,Si tu parles trop vite je ne pourrai pas comprendre
the girl trembled with fear,La fille tremblait de peur
ive got something to show you,Jai quelque chose à te montrer
he asked the lady standing next to him some questions,Il posa quelques questions à la femme debout à côté de lui
the ruins are worth visiting,Les ruines valent le coup dêtre visitées
she was crying,Elle était en train de pleurer
she sorted the washing before putting it in the washing machine,Elle a trié le linge avant de le mettre dans la machine à laver
i want an attorney,Je veux un avocat
ill take those,Je prendrai celleslà
lets take a rest,Reposonsnous
the street lights went on,Les réverbères silluminèrent
tom felt betrayed,Tom se sentait trahi
answer tom,Réponds à Tom
please feel free to ask me questions,Nhésite pas à me poser des questions
we all want changes,Nous voulons tous des changements
every student has access to the library,Tout étudiant a accès à la bibliothèque
do you have a toilet plunger i could borrow,Avezvous une ventouse que je pourrais emprunter
she spends a pretty good chunk of time just sitting there and looking out the window,Elle passe un bon bout de temps juste assise là à regarder par la fenêtre
the radio is too loud please turn the volume down,La radio est trop forte Baisse le volume je te prie
this book is small,Ce livre est petit
all good things come from above,Toutes les bonnes choses viennent den haut
i began to sweat,Je me mis à transpirer
let me talk,Laissemoi parler
as far as i know that never happened,À ma connaissance ça ne sest jamais produit
i think we should be allowed to go anywhere we want,Je pense que nous devrions être autorisés à aller où bon nous semble
instead of taking notes i spent the whole class doodling,Au lieu de prendre des notes jai passé tout le cours à griffonner
who was your favorite teacher when you were in high school,Qui était ton enseignant préféré quand tu étais au lycée
i need to get another lawyer,Il me faut trouver un autre avocat
give the dog some water,Donnez de leau au chien
my mother gets up earlier than anyone else,Ma mère se lève plus tôt que qui que ce soit dautre
it will cost around 10000 yen,Cela coûtera à peu près 10 000 yens
she detests speaking in public,Elle a horreur de sexprimer en public
did tom tell you the good news,Estce que Tom ta dit la bonne nouvelle
tom forgot to tell mary what needed to be done,Tom a oublié de dire à Mary ce quil y avait à faire
tom speaks perfect french,Tom parle un français parfait
if you werent so smug you might have more friends,Si tu nétais pas aussi suffisant tu aurais peutêtre plus damis
there were no railroads in japan at that time,Il ny avait pas de chemins de fer au Japon à cette époque
i had too much to drink and i can barely walk,Jai trop bu et je peux à peine marcher
i had hoped that my mother would live until i got married,Javais espéré que ma mère vivrait jusquà ce que je sois marié
